,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,isrc,genres
0,Aap Jaisa Koi - Qurbani / Soundtrack Version,50,0.712,0.529,2,-8.46,1,0.0411,0.728,0.0528,0.371,0.962,108.363,249107,4,INUM70500478,classic punjabi pop
1,Kahan Se Aaye Badra,22,0.38,0.389,1,-11.891,0,0.0319,0.934,2.45e-05,0.164,0.444,85.746,459760,4,INH109544440,"filmi,mollywood"
2,Teri Yaad Aa Rahi Hai - Duet,24,0.341,0.427,3,-11.744,1,0.0338,0.903,0.000402,0.298,0.491,128.001,336653,4,INH109246630,"classic bollywood,filmi"
3,Ya Mare' Aal Tawahine,29,0.563,0.616,0,-10.37,1,0.0388,0.202,0.0,0.795,0.863,116.51,165433,4,USJ3V1033184,classic arab pop
4,Aala Dalouna,27,0.572,0.621,2,-9.467,1,0.0493,0.902,5.12e-06,0.91,0.726,135.915,113293,3,USJ3V1033195,classic arab pop
5,Bahut Pahele Se Un Kadmo Ki Aahat Jaan Lete Hain (Live),19,0.479,0.378,2,-9.22,1,0.0322,0.783,0.0,0.13,0.533,77.878,288694,4,INH100017500,"classic bollywood,classic pakistani pop,filmi,ghazal,hare krishna"
6,Aal Eih Beyesaloni Live Record,30,0.365,0.24,7,-14.93,0,0.0647,0.669,8.32e-06,0.211,0.383,180.374,1741206,4,EGA020500284,"arab pop,belly dance,classic arab pop"
7,Teri Yaad Aa Rahi Hai,17,0.329,0.344,3,-15.223,1,0.035,0.863,0.00216,0.187,0.518,128.534,335000,4,INH100158540,"classic bollywood,filmi"
8,Honthon Pe Jaan Chali Aayegi,15,0.501,0.0993,7,-15.449,1,0.106,0.824,0.0,0.0859,0.666,75.93,309360,4,INH100051980,"classic bollywood,desi pop,filmi,modern bollywood"
9,Aala Aayn El May Ya Samra,18,0.555,0.421,1,-10.824,1,0.0357,0.598,9.9e-06,0.446,0.408,122.643,156996,4,USJ3V1033183,classic arab pop
10,Een schat in aarden vaten,15,0.744,0.185,10,-15.142,1,0.0377,0.893,0.00378,0.104,0.294,113.957,136920,4,QMFMF1320513,
11,Aaj Bichhde Hain,10,0.36,0.207,9,-15.886,1,0.029,0.978,1.8e-05,0.13,0.608,95.08,385000,4,INH109240850,"classic bollywood,classic pakistani pop,filmi,ghazal,marathi devotional"
12,Thodi Si Zamin Thoda Aasman,10,0.602,0.275,8,-16.743,1,0.0403,0.975,0.756,0.118,0.574,109.59,333840,4,INH109538930,"classic bollywood,desi pop,filmi,lata"
13,Ode Aan Maastricht,13,0.498,0.19,4,-15.605,1,0.0373,0.885,0.0081,0.0921,0.281,96.207,255720,4,NLA241801686,"carnaval limburg,classic belgian pop,kermis,levenslied,nederpop"
14,Aal Hob El Hob,15,0.519,0.528,5,-11.094,1,0.0784,0.766,0.0,0.838,0.675,139.371,137561,4,USJ3V1033196,classic arab pop
15,Aai Khuda Har Faisla - Abdullah / Soundtrack Version,21,0.49,0.381,7,-10.774,1,0.033,0.805,4.52e-06,0.231,0.253,98.032,290480,3,INUM70500882,"classic bollywood,desi pop,filmi,modern bollywood"
16,Aasai Raja,14,0.36,0.19,1,-11.204,0,0.0513,0.981,0.0208,0.122,0.457,68.114,64000,3,INH101203821,filmi
17,Ik aanbid u,11,0.355,0.0837,11,-18.618,0,0.0303,0.809,1.06e-05,0.101,0.29,75.573,160627,4,QMFMF1320509,
18,Raak Me Niet Aan,10,0.659,0.743,1,-10.06,1,0.0334,0.453,1.4e-05,0.459,0.938,133.359,188755,4,NLM230500049,
19,Ankhon Men Humne Aapke Sapne,6,0.381,0.393,7,-11.567,1,0.0304,0.962,0.0444,0.195,0.525,77.224,278082,3,INH100704539,"classic bollywood,desi pop,filmi,modern bollywood"
20,Mawal Lakteb Aawrak El Shagar,11,0.435,0.199,5,-14.427,1,0.0363,0.801,1.35e-06,0.192,0.703,135.131,183493,4,EGA010507459,"arab folk,classic arab pop,oud,syrian pop"
21,Aap Ko Dekh Kar Dekhta Rah Gaya (Live),12,0.667,0.481,2,-12.86,1,0.0377,0.805,0.00156,0.467,0.834,122.154,124907,3,INH100402911,"classic bollywood,desi pop,filmi,ghazal,hare krishna,sufi"
22,Aduh Aa,9,0.656,0.748,9,-9.202,0,0.0275,0.116,0.000311,0.252,0.909,130.736,342361,4,UKFT41826176,"classic indo pop,dangdut"
23,Aal Eih Beyesaloni Live Record,13,0.408,0.389,0,-12.533,1,0.115,0.799,0.000193,0.747,0.469,90.837,2710867,4,EGA010507394,"arab pop,belly dance,classic arab pop"
24,Aaj Kal Tere Mere Pyar Ke - Remix,9,0.71,0.818,9,-11.083,1,0.0624,0.00213,0.815,0.124,0.538,98.291,295387,4,INH100271820,"classic bollywood,filmi,ghazal"
